name,rating,review_count,price_level,primary_type,business_status,lat,lon,neighborhood,search_type
BCD Tofu House,4.3,6317.0,2.0,korean_restaurant,OPERATIONAL,34.0619827,-118.30272950000001,Koreatown,restaurant
Sun Nong Dan,4.4,2456.0,2.0,korean_restaurant,OPERATIONAL,34.0592615,-118.30879639999998,Koreatown,restaurant
Dan Sung Sa,4.4,2153.0,2.0,korean_restaurant,OPERATIONAL,34.0637389,-118.2946083,Koreatown,restaurant
The Boiling Crab,4.5,3599.0,2.0,seafood_restaurant,OPERATIONAL,34.062426699999996,-118.29766199999999,Koreatown,restaurant
Quarters Korean BBQ,4.4,2737.0,2.0,korean_barbecue_restaurant,OPERATIONAL,34.064015999999995,-118.297709,Koreatown,restaurant
Hae Jang Chon Korean BBQ Restaurant,4.5,3446.0,2.0,korean_barbecue_restaurant,OPERATIONAL,34.0638885,-118.30607539999998,Koreatown,restaurant
Hangari Kalguksu,4.4,1470.0,2.0,korean_restaurant,OPERATIONAL,34.062887599999996,-118.2975914,Koreatown,restaurant
Guelaguetza Restaurant,4.3,6475.0,2.0,mexican_restaurant,OPERATIONAL,34.0524074,-118.30066809999998,Koreatown,restaurant
Park's BBQ,4.4,2226.0,2.0,korean_barbecue_restaurant,OPERATIONAL,34.0539567,-118.292058,Koreatown,restaurant
Yama Sushi Marketplace,4.8,242.0,,asian_grocery_store,OPERATIONAL,34.05236,-118.30561000000002,Koreatown,restaurant
Ahgassi Gopchang,4.3,1849.0,2.0,korean_barbecue_restaurant,OPERATIONAL,34.0633917,-118.3039389,Koreatown,restaurant
Hotel Normandie LA,4.2,1599.0,2.0,hotel,OPERATIONAL,34.063323499999996,-118.300528,Koreatown,restaurant
Hanbat Sul Lung Tang,4.5,1899.0,1.0,korean_restaurant,OPERATIONAL,34.0654526,-118.3096161,Koreatown,restaurant
Liu's Cafe,4.5,333.0,1.0,taiwanese_restaurant,OPERATIONAL,34.0637013,-118.30844940000001,Koreatown,restaurant
Jinsol Gukbap 3rd (진솔국밥 3가),4.5,1201.0,2.0,korean_restaurant,OPERATIONAL,34.069191499999995,-118.30146730000001,Koreatown,restaurant
All You Can Eat Sushi & BBQ,4.0,1047.0,2.0,korean_barbecue_restaurant,CLOSED_TEMPORARILY,34.0614657,-118.3118112,Koreatown,restaurant
Ocha Classic 1,4.3,4651.0,2.0,thai_restaurant,OPERATIONAL,34.0566847,-118.2918573,Koreatown,restaurant
Gangnam Station Korean BBQ,4.3,1062.0,2.0,korean_barbecue_restaurant,OPERATIONAL,34.0618828,-118.3086333,Koreatown,restaurant
BCD Tofu House,4.0,1507.0,2.0,korean_restaurant,OPERATIONAL,34.056157299999995,-118.30948509999999,Koreatown,restaurant
Pigya,4.3,329.0,,korean_barbecue_restaurant,OPERATIONAL,34.0574481,-118.30330160000001,Koreatown,restaurant
Vons,4.2,3624.0,,grocery_store,OPERATIONAL,34.0699603,-118.29088390000001,Koreatown,bakery
